service_name,organisation_name,description,address,categories,email,website,facebook,phone,facilities,access_options,opening_times,accreditation 
Many Tears Horse Therapy,Many Tears Horse Therapy,"Horse Therapy - Disabled access is available on request, e mail to arrange appointment","Many Tears Animal Rescue, Cwmlogin House,Cefneithin,SA147HB","Mental Health,Animal welfare,Community,Disability,Education and training,Sport and recreation",info@manytearsrescue.org,http://www.manytearsrescue.org/,,01269 843084,Disabled access,By appointment only,,
Macmillan Information ' Support - Carmarthenshire,Macmillan Cancer Information and Support Carmarthenshire,"We offer free, confidential information ' support to everyone affected by cancer: Provision of information resources published by Macmillan ' other organisations; A confidential environment to talk; Welfare ' Benefits Advice; Signposting ' referrals to local support services eg counselling.",,"Older People,Advice and advocacy,Children and Families,Community,Health and social care",,,,,,"Drop in,Self referrral,Agency referral",,
Carers Information Service,Carers Trust Crossroads Sir Gar,"The Carers Information Service provides free and confidential information, advice and support to carers throughout Carmarthenshire. We produce and distribute information including a wide range of factsheets on how and where carers can access support for them and the people they care for. Our outreach service offers 1:1 support to carers. We also have a Young Adult Carers Project for young adult carers aged 16-25 years. The Carers Information Service is part of Carers Trust Crossroads Sir Gâr, a network member of Carers Trust.","The Palms Unit 3,96 Queen Victoria Road,Llanelli,SA152TH","Older People,Mental Health,Children and Families,Health and social care",info@carmarthenshirecarers.org.uk,,,0300 0200 002,"Toilets,Parking,Disabled access,Disabled toilet",,,
Guided Tours,Small World Theatre,"Small World Theatre is an exciting, sustainably built community arts space in the centre of Cardigan, which provides a purpose built centre of excellence for Arts and Culture for Development. The working theatre space has generated much praise and respect from the community and environmental organisations and booking your own tour is now possible.Bill Hamblett, Artistic Director is used to guiding groups around the building. Bespoke tours can be focused for college students, university and architectural students, schools, construction trades, environmental groups, local societies and community organisations. If you want to form a group and tour our venue, please contact Bill to discuss your requirements on 01239 615 952.",,"Older People,Arts/Culture/Heritage,Children and Families,Community,Education and training,Environment,Youth",hope@smallworld.org.uk,,,01239615952,"Toilets,Kitchen,Refreshment,Internet (wifi),Dance floor,Equipment,Disabled access,Disabled toilet,Conference,PA system",By appointment only,,
Arts Engagement Training,Small World Theatre,"SWT runs an Arts Engagement Training programme targeted at practitioners who work with young people who are 'NEET' (not in education, employment or training), or who are identified as being 'at risk of becoming 'NEET'. We also run courses directly for these young people. Courses are accredited through Agored in a wide range of subjects, contact ann@smallworld.org.uk for more information.",,"Arts/Culture/Heritage,Children and Families,Education and training,Employment,Youth",hope@smallworld.org.uk,,,01239615952,"Toilets,Kitchen,Refreshment,Internet (wifi),Dance floor,Equipment,Disabled access,Disabled toilet,Conference,PA system",,,
Age Cymru Sir Gar - Bryntawel LIFT exercises at Bryntawel Sheltered Housing,Age Cymru Sir Gâr,Gentle exercise group as part of the Age Cymru Befriending Groups,"Ammanford Evangelical Church,Wind Street,Ammanford,SA18 3AF","Community,Older People",info@agecymrusirgar.org.uk,,,01554 784 080,Disabled access,,,
Black Mountain Centre - Heritage Group,Black Mountain Centre,Local history and heritage. Local group meeting discuss and research heritage and local history.,"Heol Cwmgarew,Brynamman,Ammanford,SA18 1BU",,enquiries@black-mountain.org.uk,http://www.brynaman-heritage.org.uk/,,01269 823400,"Toilets,Kitchen,Refreshment,IT,Internet (wifi),Parking,Disabled access,Disabled toilet,Conference",,,
Black Mountain Centre Cafe,Black Mountain Centre,"Community Cafe open to all.The cafe team is made up from dedicated staff and volunteers who are always happy to help. Our cafe is open all year round, serving good home-cooked food. We aim to provide quality food in attractive surroundings and very much hope that you will come and visit us soon.      We are open for breakfast, lunch, snacks, or just a cup of tea with homemade cakes, all served in a friendly, welcoming atmosphere.",,Community,enguiries@black-mountain.org.uk,,,01269 823400,,,"'Monday to Friday from 9am until 2.30pm. 
Saturday - 9am until 1pm ",
GABS Visual Impairment Bowls Group,GABS Gwendraeth Amman Blind Social Group,Bowls Club for the visually impaired.,"Ammanford Fire Station,Heol Wallasey/High Street,Ammanford,SA18 2LU","Community,Disability,Sport and recreation",brianvision@gmail.com,,,07831629343,Disabled access,,,
Dementia Carers Support Group,Dementia Carers Support Group,"A service for people with dementia and carers to enable them to socialise, take part in activities and outings, make new friends, get support and information and still feel part of the community. The meetings are open for anyone who wishes to attend.",,,dorothyam@btinternet.com,,,01554 835586,"Kitchen,Refreshment,Parking,Disabled access,Disabled toilet,Conference","Drop in,Self referrral",,
Banc Organics,Banc Organics,"Organic Food Box scheme. Runs from June to January, bags are 14 pound for large, 10 pound for medium, 7.50 pounds for small. Members pay an annual fee of 10 pounds and receive a 5% discount on all bags. Some households may also be eligible for vouchers towards the cost of fresh vegetables (www.healthystart.nhs.uk), regular farm open days once a month, annual harvest festival and other activities. Volunteers welcome","Tireithin Farm,Bancffosfelen,Llanelli,SA15 5BR","Community,Health and social care,Volunteering",bancorganics@gmail.com,,,01269 870101 or 07530786838,,,,
Ysgol y Bedol Lunch Club,Ysgol y Bedol Lunch Club,Lunch Club,"Ysgol y Bedol,,Folland Road, Garnant,Ammanford,SA18 2GB","Older People,Community,Sport and recreation",,,,01269 826640 or 07528274273,,,,
Ammanford Deafblind Group,Deafblind Cymru,"A group for adults who are deafblind  i.e. have some degree of both sight and hearing loss.  Our support and social groups bring deafblind people together for companionship, to share advice and tips with each other, and to have fun together (subs may apply).  Groups enjoy speakers, take part in activities such as tactile crafts, as well as go on the occasional outing together.  Our Ammanford Deafblind Group usually meets on the fourth Monday of the month 2-4pm at Ty Dyffryn Extra Care, Rhodfa Frank, Ammanford.","Ty Dyffryn,Rhodfa Frank,Ammanford,SA18 2QE","Disability,Health and social care,Older People",rhiannon.crocombe@deafblind.org.uk,http://deafblind.org.uk/,,07827 309770 or 0800 132320,"Disabled access,Disabled toilet,Kitchen,Parking,Refreshment,Toilets","Self referrral,Agency referral",'Fourth Monday of the month 2-4pm,
Age Cymru Sir Gâr - Ammanford Tea Dance at Ammanford Evangelical Church,Age Cymru Sir Gâr,Tea Dance and socialisation group.,"Ammanford Evangelical Church,Wind Street,Ammanford,SA18 3AF","Older People,Community,Health and social care",info@agecymrusirgar.org.uk,,,01554 784080,Disabled access,,,
Nantlais Visual Impairment Group,Nantlais Visual Impairment Group,"Visual Impairment Group. Refreshments and a chat, speakers and advice given. Free transport arranged through Karen Roderick, Visual Impairment Officer","Nantlais,Llandybie Road, Bonllwyn,Ammanford,SA18 3EJ","Community,Disability,Health and social care",brianhvision@gmail.com,,,07831629343,Disabled access,Agency referral,,
GABS Gwendraeth Amman Blind Social Group,GABS Gwendraeth Amman Blind Social Group,"Group for blind and low vision clients. Chat and a coffee, speakers and advice given, occasional trips. Groups supply their own tea, coffee and sandwiches each week and pay a small amount for the room hire.","Ammanford Fire Station,Heol Wallasey/High Street,Ammanford,SA18 2LU","Community,Disability,Health and social care",brianhvision@gmail.com,,,07831629343,Disabled access,,,
Ammanford Knitting Group,Ammanford Knitting Group,"Medium to large Knitting Group for ladies. Knit your own projects or do joint projects, occasionally go for meals or trips. Refreshments on the night are extra (provided by the Bowls Club).","Ammanford Bowls Club,Iscennen Road,Ammanford,SA18 3AP","Community,Sport and recreation",susanjcartledge@gmail.com,,,01269 505040,Disabled access,,,
Tycroes Ladies Group,Tycroes Ladies Group,"Chat and social group, £11 membership per year to include refreshments. 50p per week to cover raffle. Speakers, trips, quiz, general social group for ladies only.","Tycroes Ladies Group,Tycroes Village Hall,Tycroes, Ammanford,SA18 3QS",Community,joanelewis44@gmail.com,,,07977905499,Disabled access,,,
Mind Befriending Sir Gar,Llanelli Mind,"Our befriending scheme offers support and companionship to people who have mental health needs. We recruit, train and match volunteers with individuals who are socially isolated through their experience of mental ill health. In a rural county like Carmarthenshire, people can also be geographically isolated. Aims and objectives of Mind Befriending Sir Gâr We aim to encourage people experiencing emotional or mental health problems towards a more fulfilling life through developing mutually beneficial friendships. We aim to: Alleviate the loneliness of people with mental health problems who are geographically isolated by helping them developing a wider social network. We also want to: Promote personal choice Increase self-respect Reduce stress Support existing personal skills and the development of new opportunities Prevent admissions and re-admissions to hospital by minimising the destabilising effects of mental illness Promote a more positive attitude to mental health in the community The befriending scheme will: Provide regular and agreed contact with a volunteer befriender Provide companionship and support Offer a listening ear, but not structured counselling Offer this service in an informal, non-judgmental and confidential manner, free to the service user Ensure regular reviews of the befriending relationship Mind Befriending Sir Gâr works within the Mind Quality Framework and uses the Quality Management in Mind (QMiM) which demonstrates our commitment to quality assurance.",,"Older People,Mental Health,Community,Disability,Health and social care,Volunteering",,,,,"Toilets,Kitchen,Parking,Disabled access,Disabled toilet","Self referrral,Agency referral",,
Saron 50+ Cuppa Club,Saron 50+ Cuppa Club,"We are a lively, friendly bunch of over 50's who meet fortnightly on a Wednesday from 10.00 to 12.00.We serve tea, coffee and toast, in vintage style crockery, in a relaxed and informal atmosphere. A free raffle is included in the entry fee, prizes being donated by members. Those who are able are encouraged to help serve and clear up at the end of each session. We arrange occasional trips and days out at a reasonable cost.Come along and enjoy a warm welcome.","Saron Road,Saron,Ammanford,SA183ln","Older People,Community",lynniewoods2005@yahoo.co.uk,,,01269597524,"Toilets,Kitchen,Refreshment,Dance floor,Equipment,Parking,Disabled access,Disabled toilet,Conference,PA system",Drop in,,
Tumble Llanelli Breakfast Club,Tumble Llanelli Breakfast Club,"Tumble breakfast club if for ex servicemen and women, veterans of any age any disability. We meet every fortnight on a Saturday morning at 9.30am till about 12.30 or whenever people want to leave at Harri Morgans Fish and Chip restaurant in Tumble, Llanelli On offer is and endless supply of tea and coffee free and you can order a very substantial breakfast from 4.95, plus good comrades, great chat and signposting to other organisations that could help and support. We occasionally organise trips Everyone with a connection to the services is welcome from any area we have a wide membership thanks to our facebook page which can be found @tumblellanellibreakfastclub , this is a closed group where you can talk and socialise with like minded people all who have some connection to the services and will understand the problems that can arise, offer support or signposting. Harri Morgans also offer a delivery service to anyone in a 3 mile radius","Harri Morgans, Fish and Chip Cafe,,Heol Y Neuadd, Tumble,Llanelli,SA146HR","Older People,Mental Health,Community,Disability,Health and social care",paulsummers656@googlemail.com,,,,"Toilets,Refreshment,Parking,Disabled access","Drop in,Self referrral,Agency referral",,
CUSP (Carmarthenshire United Support Project),British Red Cross,"CUSP is a project aimed at coordinating support for people living in Carmarthenshire who are over 18 years old and not receiving care on a regular basis. The objective is to enable them to build confidence and maintain or develop their independence. It is especially appropriate for those who are on the ‘CUSP’ of needing more formal care and support from social services.We liaise with local charities and agencies and aim to prevent the small setbacks that can sometimes tip someone over the edge and in to the need for hospital, residential or home care packages.CUSP is supported by, and is a partnership between, The British Red Cross and - Carmarthenshire County Council; Age Cymru Sir Gar; Carers Trust; Carmarthenshire Care and Repair; Royal Voluntary Service; Eiriol; Crossroads; Menter Cwm Gwendraeth; Mid and West Wales Fire and Rescue Service;       CAVS (Carmarthenshire Association of Voluntary Services); S.W.A.I.L.(Safe Well And Independent Living)",,"Advice and advocacy,Health and social care",BRCSSP-Llanelli@redcross.org.uk,,,01554 745480,,"Self referrral,Agency referral",'Mon - Friday 9am - 4.30pm,
Black Mountain Centre - Lunch Club,Black Mountain Centre,"Luncheon ClubThe luncheon club members meet every Monday from 12pm - 2pm for a hearty three course meal and to enjoy in the company of others. The development team hold a weekly raffle, quiz and game of bingo. The group is often joined by guest speakers and performers. Prices are currently under review, however will remain cheap. If you are interested in joining the Luncheon Club, call the Centre on 01269 823400. Transport can be provided in most cases.The Black Mountain Centre Luncheon Club, co-ordinated by the Black Mountain Centre team and supported by Sarah Hopkin, Catherin Goss and Rita Jones is a key service for the elderly residents of Brynaman. Participants value the service as it provides an opportunity for social inclusion.","Heol Cwmgarew,Brynamman,Ammanford,SA18 1BU",Community,enquiries@black-mountain.org.uk,,,01269 823400.,"Toilets,Kitchen,Refreshment,IT,Internet (wifi),Parking,Disabled access,Disabled toilet,Conference",,,
Nant y Glo Sheltered Housing,Nant y Glo Sheltered Housing,Sheltered Housing,"Nant y Glo Sheltered Housing,Coalbrook Road,Pontyberem,SA15 5HT",,awheelhouse@carmarthenshire.gov.uk,,,01269 871395,Disabled access,,,
"Age Cymru Sir Gâr - Coffee, Cake and Company",Age Cymru Sir Gâr,"Chat and socialisation group meet, have tea, coffee and cake and a chat at Ammanford Evangelical Church.",,"Community,Older People",info@agecymrusirgar.org.uk,,,01554 784080,,,,
Tycroes Village Hall,Tycroes Village Hall,Village Hall for the use of the community,"Tycroes Village Hall,Tycroes,Ammanford,SA18 3QS",Community,joanelewis44@gmail.com,,,07977905499,Disabled access,,,
Bethlehem Church Life Centre,Bethlehem Church Life Centre,"Bethlehem Church Life Centre is a 21st century church, carrying a vision and mission that has lasted for over two thousand years which is to Love God and Love People!","Bryn Glas,Cefn Cribwr,Bridgend,CF32 0AA",Religion,centremanager@mybclc.org,,,01656 745655,"Toilets,Kitchen",Drop in,,
Nant y Glo - OAP Club,Nant y Glo - OAP Club,"OAP socialisation group, Tea, Coffee and chat","Nant y Glo Sheltered Housing,Coalbrook Road,Pontyberem,SA15 5HT",Community,awheelhouse@carmarthenshire.gov.uk,,,01269 871395,Disabled access,,,
Richard Price Centre,Richard Price Centre,"The Richard Price Centre is a building owned by Bridgend County Borough Council and run by a voluntary management committee. The committee meets once a month to discuss the running of the centre and future plans and events. The centre currently employs a caretaker/manager - Laura Goss who prepares rooms for meetings, conferences, parties, weddings and any other events that take place. The centre offers a range of rooms to hire such as a computer suite/training room with interactive white board, lounge for up to 50 people, 250 seat main hall with a stage and can be used as a 130 seat dining hall for weddings and cabaret style evenings. There is also a smaller hall downstairs (up to 80) that has a self contained kitchen. The centre can cater for parties, weddings and conferences.","Bettws Road,Llangeinor,Bridgend,CF328PF",,info@richardpricecentre.co.uk,,,01656 870584,,,,
Dhama House Wales,Dhama House Wales,We are a buddhist retreat,,,,,,,,,,
BLAS Ammanford and District Life After Stroke Group,BLAS Ammanford and District Life After Stroke Group,Stroke Club,"Ammanford Pensioners Hall,Quay Street,Ammanford,SA183EN","Older People,Community,Disability,Health and social care",duncanmclaren@freeuk.com,,,01550777749,Disabled access,"Drop in,Self referrral",,
Y Dderwen Community Enterprise,Y Dderwen Community Enterprise,YDCE is a Charitable Incorporated Organisation (CIO) which operates from Coleg Cymunedol Y Dderwen School located in Tondu Bridgend to serve the community. Our School really has to be seen to be believed. Coleg Cymunedol Y Dderwen's purpose built learning and community facilities are amongst the first to be developed in Wales. Our facilities and learning environment provides a safe and secure place in which students can be taught to the very highest standards and the opportunity to carry on learning new skills outside of the normal school hours with the needs of the community have been the focus of this facility.,"Heol yr Ysgol,Tondu,Bridgend,CF329EL",,bookings@ccyd.org.uk,http://ccyd.org.uk/community.aspx,,01656 815920,,,,
Carmel Youth Club,Carmel Youth Club,Youth Club for teenagers. Please get in touch for further information.,,"Children and Families,Community,Sport and recreation,Youth",,,,,,"Drop in,Self referrral",,
Helping People Grow,Helping People Grow,We are developing allotments for groups or individuals and have already had groups of children visiting. Visiting groups cost for allotment £1 as a nominal amount. No services yet but toilet and fencing are being arranged,"Wattrees Farm,Wernddu Road,SA182UP",,wattreesfarm@yahoo.com,,,,Disabled access,,,
Crisis support for working farmers,The Royal Agricultural Benevolent Institution (R.A.B.I.),"Grants and support for farmers experiencing exceptionally difficult circumstances of a temporary nature.(Could be through accident,adverse weather, illness,disease in herd,general financial hardship, each case assessed on individual need","Shaw House,27 West Way,Oxford,OX20QH","Advice and advocacy,Community",grants@rabi.org.uk,http://www.rabi.org.uk,,08082819490,,,,
Ammanford Food Bank,Ammanford Food Bank,"Food Bank, Voucher scheme for people/families in crisis.","Ammanford Food Bank Office,6 College Street,Ammanford,SA183AF",,mattbownds@hotmail.com,,,01269593182,Disabled access,Agency referral,,
iSmooth Community Cafe,iSmooth Community Cafe,Community Cafe that provides healthy meals at affordable prices.,"iSmooth Community Cafe,10 College Street,Ammanford,SA183AF",,ismoothcommunitycafe@hotmail.co.uk,,,01269597640,Disabled access,,,
Hafan Gobaith y De,Hafan Gobaith y De,Day Centre for people with Dementia.,"Hafan Gobaith y De,Station Road,Ammanford,SA182DB",,hafanmanager@hotmail.co.uk,,,01269591787,Disabled access,,,
Age Cymru Sir Gâr - Tycroes Exercise Classes at Tycroes Village Hall,Age Cymru Sir Gâr,Gentle Exercise Class at Tycroes Village,,"Community,Health and social care,Older People",s.stuttard@agecymrusirgar.org.uk,,,01269 591048   01554784080,,,,
Caerbryn Village Hall - Whist and Bingo night,Caerbryn Village Hall - Whist and Bingo night,Whist and Bingo night,"Caerbryn,Llandybie,Ammanford,SA183DX",,,,,01269851276,Disabled access,,,
Gate and District Welfare Hall - Art Class,Gate and District Welfare Hall - Art Class,Art Class,"Gate Road,Penygroes,Llanelli,SA14 7RW","Community,Education and training",elerirees@sky.com,,,07837638456,,Self referrral,,
Sarn Centre Association,Sarn Centre Association,We offer a wide range of activities from adult education classes and keep fit to martial arts and children's parties. Our venue is also available to hire at reasonable rates.,"The Life Long Learning Centre,Merfield Close, Bryncethin,Bridgend,CF329SW",,sarncentre@bridgend.gov.uk,,,01656 754853,,,,
Starfish,Starfish,"Starfish (incorporating Reaching Out) is a Bridgend peer-support group providing emotional and practical support for anyone with mental health issues, whatever the cause. (Those under 18 may need adult supervision).Starfish is run by sufferers for sufferers. The only non-sufferer committee member is our treasurer - a carer; ensuring safe financial management in case of illness.","Sarn Community Centre Library,Merfield Close,Sarn,CF329SF",,keith@Starfish-MentalHealth.org.uk,,,08000 435 600,,,,
SSAFA Forces Help,SSAFA Forces Help,"We help serving personnel, veterans and their families across the UK. Our network of around 7,000 committed volunteers worldwide offer welfare support for people from throughout the military community, from World War Two veterans to the families of young service personnel wounded in Afghanistan. Our network of branches provide help for veterans and their families in the community. Our service volunteers work on military bases to help families meet the challenges of service life.",,,daved43@sky.com,,,01656 785435,,,,
Trinity Care And Support,Trinity Care And Support,"Trinity Care 'amp; Support in Porthcawl, offers short-term respite care services to families who have a child or adult with a Learning Disability living with them.","Trinity Church	John Street,Porthcawl,CF36 3DT","Older People,Children and Families,Disability,Health and social care",tcands@tiscali.co.uk,,,01656 782104,,"Self referrral,Agency referral",,
Trinity Care And Support,Trinity Care And Support,"Trinity Care 'amp; Support in Porthcawl, offers short-term respite care services to families who have a child or adult with a Learning Disability living with them.","Trinity Church,John Street,Porthcawl,CF363DT",,tcands@tiscali.co.uk,,,01656 782104,,,,
Sussed Wales,Sussed Wales,"SUSSED specialises in ethical products; specifically, Fairtrade, environmentally-friendly and local goods. We have a dedicated team of 12 volunteers who work regular shifts in the shop, as well as more occasional volunteers (about 6 - 8) who help out with events, and D.I.Y.","4-5 James Street,Porthcawl,CF363BG",,sussed@sustainablewales.org.uk,,,01656 783962,,,,
Bridgend Deafblind Group,Deafblind Cymru,"A group for adults who are deafblind  i.e. have some degree of both sight and hearing loss.  Our support and social groups bring deafblind people together for companionship, to share advice and tips with each other, and to have fun together (subs may apply).  Groups enjoy speakers, take part in activities such as tactile crafts, as well as go on the occasional outing together.  Our Bridgend Deafblind Group usually meets on the first Tuesday of the month 11am-1pm at Nolton Church Hall, Merthyr Mawr Road North, Bridgend.","Dunraven Room,Nolton Church Hall,Bridgend,CF31 3NH","Disability,Health and social care,Older People",rhiannon.crocombe@deafblind.org.uk,http://deafblind.org.uk/,,07827 309770 or 0800 132320,"Disabled access,Disabled toilet,Kitchen,Parking,Refreshment,Toilets","Self referrral,Agency referral",'First Tuesday of the month 11am-1pm,
Hope Church Community Project,Hope Church Community Project,We are a town centre church with a heart for serving our local community.,"319 New Road,Newton,Porthcawl,CF365PH",,hopeconc@live.co.uk,,,07962 076380 / 07840162316,,,,
Porthcawl Harbourside CIC,Porthcawl Harbourside CIC,"Porthcawl Harbourside CIC will create an innovative, inclusive and economically sustainable multi-use destination. The Maritime Centre, called 'Harbourside' will be a flagship venue, but so much more than a building - it will be a dynamic, stimulating environment where Coastal Science, Pioneering Community Involvement and Maritime History combine - an all-weather, year-round haven for residents and visitors bringing educational, cultural, water sports, business, employment and health and wellbeing benefits to the South Wales Coast.","16-18 Mary Street,Porthcawl,CF363YA",,contact@porthcawl-harbourside.co.uk,,,01656 774341,,,,
Swimming Dragon School of Sun Style Tai Chi,Swimming Dragon School of Sun Style Tai Chi,"Practice at the club will mainly involve the study of Sun Style Neijia Kung Fu, being Taiji Quan, Bagua Quan and Xing Yi Quan.Practice is not strenuous and does not involve falls or competition, it is very suitable for people of all abilites.The training involves practicing self defence moves with a friendly cooperating partner. This can also be repeated the as a solo sequence for extra training without a partner.The benefits of Sun's Style Neijia Kung Fu are:The training is a non strenuous moderate exercise, which will beniefit health.Confidence gain that self defence capability brings.Enhancing focus and awareness through exercises that require the mind and body to work as one.Social enjoyment, interacting, discussing and generally having fun with martial arts.","Awel Y Mor,Wellfield Avenue,Porthcawl,CF365TP",,sunsdragon@hotmail.com,,,01656 784991,,,,
Trallwm Community Hall,Llanelli Rural Council,"Trallwm Community Hall is the property of Llanelli Rural Council and run by the Community Hall Committee. The Hall includes hall area; cafe area; meeting rooms and changing rooms. The hall has full disabled access and has on site parking. The hall is available for hire by the local community. The timetable of regular activities is as follows: Monday: Music for babies 9.30am to 11.30am Judo 5.00pm to 7.30pm Tuesday: Rainbow Rhymes 11.00am to 1.00pm Old Age Exercise Class 3.00pm to 4.30pm Dancing Divas 5.00pm to 8.00pm Wednesday: Rainbow Rhymes 9.30am to 1.00pm Dancing Divas 4.00pm to 6.00pm Dog Training 7.00pm to 9.00pm Thursday: Judo 6.00pm to 7.30pm Friday: Rainbows/Brownies 5.30pm to 8.00pm Saturday: Judo 11.00am to 12.30pm Sunday: Church Service 11.00am to 1.00pm Wrestling 7.00pm to 8.00pm For further details on the above activities or for booking enquiries please contact Ella Simmons on 07714 887087","Amanwy,Llwynhendy,Llanelli,SA149AH",Community,,,,07714887087,"Toilets,Kitchen,Refreshment,Dance floor,Parking,Disabled access,Disabled toilet,Conference",,,
Wildmill Community Life Centre,Wildmill Community Life Centre,"The Centre now provides excellent facilities for the playgroup, Adult Education and the various other groups that use the building.The Centre is more ECO friendly, with improved insulation and a ground source heating system.","9 The Precinct,Tairfelin, Windmill,Penybont yr Ogwr,CF311SP",,,,,01656 857076,,,,
Wildmill Youth Club,Wildmill Youth Club,"Wildmill Youth Club is funded by Youth Works, and offer's a range of after school activities for young people ages 8-17 years.","Wildmill,Bridgend,CF311YN",,,http://www.communitiesfirstwildmill.btik.com/Youthworks/WildmillYouthClub,,01656 818570,,,,
Westward Community Centre,Westward Community Centre,We area venue for hire for events and private functions.,"The Shopping Precinct,Llangewydd Road,Bridgend,CF314JR",,westwardcc@hotmail.co.uk,,,01656 654946 / 07460545008,,,,
Friends of Monze,Friends of Monze,"Friends of Monze www.friendsofmonze.org works in the town of Monze in Zambia. We build schools and provide books, sports equipment, solar lights and computers. We have provided training and tools for 4 permaculture food gardens, including bore holes for water. We train health educators in menstrual hygiene, cervical cancer and women's rights.For more information, a presentations about our work or to volunteer help, phone 07807660543 deana.owen@friendsofmonze.org","87 Park Street,Bridgend,CF315DR","International aid and emergency relief,Volunteering",deana.owen@friendsofmonze.org,https://friendsofmonze.org,,07807 660543,,,,
Oxfam Charity Shop - Bridgend,Oxfam Charity Shop - Bridgend,"Oxfam is a global movement of millions of people who share the belief that, in a world rich in resources, poverty isn't inevitable. In just 15 years, extreme poverty has been halved. 15 more years and we can end it for good.","21 Wyndham Street,Bridgend,CF311ED",,oxfamshop5212@oxfam.org.uk,,,01656 665298,,,,
St John Wales Pencoed ' Bridgend Dvsn,St John Wales Pencoed ' Bridgend Dvsn,The division provides event medical cover and training in the local area.,"Hope Baptist Church Hall,Derwen Road,Bridgend,CF311EA",,pencoedbridgendenquiries@stjohncymruwales.onmicrosoft.com,,,029 2044 9600,,,,
Keeping it together,Keeping it together,"The aim of the project us to provide a support group for the family and friends of servingprisoners living within the borough. The group will meet on a weekly basis, will be sociallyinclusive and provide advice, support and guidance on a number of issues.","The Oracle,18 Adare Street,Bridgend,CF311EJ",,rebeckah@oracle-services.co.uk,,,0300 003 0423,,,,
Bridgend Table Tennis Club,Bridgend Table Tennis Club,We offer the opportunity for people of all abilities to try their hand at Table Tennis.  4 Hard Tennis CourtsFlood LightingProfessional Coach2 Squash CourtsBowling GreenBar,"Bridgend YMCA,Angel Street,Bridgend,CF31 4AD",Sport and recreation,bridgendtennisclub@gmail.com,https://www.facebook.com/Bridgend-People-First-175268382069/timeline,,01656 662041,"Toilets,Kitchen,Disabled access,Disabled toilet",,,
Gofal Cymru,Gofal Cymru,"We are a leading Welsh mental health and wellbeing charity. We provide a wide range of services to people with mental health problems, supporting their independence, recovery, health and wellbeing. We also lobby to improve mental health policy, practice and legislation, as well as campaigning to increase public understanding of mental health and wellbeing","2nd Floor,Derwen House, 2 Court Road,Bridgend,CF311BN",,enquiries@gofal.org.uk,,,01656 647722,,,,
"Parish of Coity, Nolton ' Brackla","Parish of Coity, Nolton ' Brackla","This ancient South Wales parish, part of the Anglican Church in Wales, extends south of the M4 corridor between Junctions 35 and 36. It takes in the communities of Coity, Litchard, Brackla, and the area of Bridgend east of the River Ogmore.We are grouped with the parish of Coychurch.","The Parish Office,Merthyrmawr Road North,Bridgend,CF313NH",Religion,office@cnb-parish.org.uk,,,01656 667690,,,,
Pencoed Primary School Parent Teacher Association,Pencoed Primary School Parent Teacher Association,"The PTA work really hard organising events and raising additional funds for the school. They have recently been raising money to help buy iPads for the school.We are always looking for additional helpers. If you would like to help, please pop into school.","Penprysg Road,Pencoed,Bridgend,CF356RH",,,,,01656 815730,,,,
Y BONT - Bridgend and District Resource for Children with Disabilities,Y BONT - Bridgend and District Resource for Children with Disabilities,"Y BONT is an independent not-for-profit organisation, based in Bridgend. Its mission statement is 'Enabling children with a disability to fulfil their potential'. We have an amazing team of staff and volunteers who consistently provide a warm, happy, safe and stimulating environment for the children to learn and play, as well as support and guidance to their families.The organisation continues to grow and develop and now has over 130 families who benefit from the services offered. During this period of growth, the core activity has adapted and changed in response to needs identified by families. Current services include Pre-school day-care, family support services, parent workshops, specialist parent support groups, social media and a newsletter. Activities take place for 51 weeks of the year, between the hours of 9am to 5pm, Monday to Friday.",,"Advice and advocacy,Children and Families,Disability,Youth",,,,,,,,
Little Fingers Kidz Club,Little Fingers Kidz Club,"We are a kids club who offers lots of fun activites including craft, music, trips and more.","3 Heol-y-derw,Evanstown,Gilfach Goch,CF398RW",,littlefingerskidzclub@gmail.com,,,,,,,
Music in Hospitals,Music in Hospitals,"Music in Hospitals (MiH) is a charity whose mission is to improve the quality of life for adults and children with all kinds of illness and disability through the joy and therapeutic benefits of professionally performed live music in hospitals, hospices, day care centres, special schools, nursing and residential homes.","Castle Grounds,Cathays Park,Cardiff,CF103ER",,wales@musicinhospitals.org.uk,,,02920 391415,,,,
Ynasawdre Community Centre,Ynasawdre Community Centre,We are avenue for hire for a variety of events and activites. We also have a timestable of activites for the community.,"90 Bryn Road,Brynmenyn,Bridgend,CF399LU",,,,,01656 720230,,,,
Wales Quality Centre,Wales Quality Centre,"The Wales Quality Centre provides ISO Management Standards, Business Improvement and Business Skills training to organisations in Wales and across the UK. We also offer Advisory; Consulting; Benchmarking and Signposting services. A non-funded, not for profit organisation, we work to support organisations across private, public and the third sector, with our annual Quality and Innovation Award programmes, to showcase the successes and best practices of businesses in Wales.","Waterton Centre,Waterton Industrial Estate,Bridgend,CF313WT",,gail@walesqualitycentre.org.uk,,,01656 652063 / 01656 646745,,,,
